"","age","MH","TH"
"1",3000,10.4597693661095,22.2182731608712
"2",3050,10.9953925067465,22.2694407274498
"3",3100,11.1601047965789,21.9940119984354
"4",3150,10.674279880833,21.4180663867718
"5",3200,10.0471051315857,20.6273917773508
"6",3250,9.83438033506147,20.3296721762059
"7",3300,9.98668996114446,20.196671884021
"8",3350,10.5341941538133,19.823014915163
"9",3400,10.9522795634599,19.6372078315111
"10",3450,11.279275393086,19.8852032295971
"11",3500,11.6350473084372,20.1866921035841
"12",3550,11.8357471072287,20.4857176445513
"13",3600,11.9985137717402,20.8507471367929
"14",3650,12.2748472129072,21.5717022682175
"15",3700,12.6465869245009,22.3951544588569
"16",3750,12.1279695712149,22.38659464471
"17",3800,11.4720247670382,21.8912511375852
"18",3850,12.0788324172534,21.7442645262784
"19",3900,12.7005355255198,21.7911036594157
"20",3950,12.3112128543564,21.6020436921749
"21",4000,11.9824283687252,21.4360287504476
"22",4050,12.0636918958174,21.160352153484
"23",4100,11.891975670809,20.8271548839406
"24",4150,11.2846119513329,20.8071600735411
"25",4200,10.9964821211807,20.9114021334187
"26",4250,11.970696435968,21.3966639114732
"27",4300,12.9149767462707,21.9843996357083
"28",4350,12.2998852105953,21.6918482812713
"29",4400,11.4008748919291,20.8747569394592
"30",4450,11.3397891862292,20.5411217969735
"31",4500,11.5907072849119,20.5388120711484
"32",4550,11.8642455777958,20.4093111773355
"33",4600,12.0255353356121,20.243670438564
"34",4650,12.2671147862696,20.3561272161869
"35",4700,12.4846006999766,20.6438243542925
"36",4750,11.5961798866441,20.3977042942619
"37",4800,10.589252433849,19.7639316318014
"38",4850,10.3710801121281,19.2751191863257
"39",4900,10.3352140607579,19.0663245837465
"40",4950,10.5957536914766,19.0254930931833
"41",5000,10.6554687427705,18.9637468736395
"42",5050,10.271270012133,19.2932262061264
"43",5100,10.2298505171963,19.7888753248809
"44",5150,10.9391770617843,20.2491102505053
"45",5200,11.5770484181984,20.692690488843
"46",5250,12.0728155634744,21.2252843680829
"47",5300,12.6124551190647,21.8054659492535
"48",5350,13.1282382026723,22.3311942961579
"49",5400,13.6404412635516,22.6656851711008
"50",5450,14.0683227959587,22.6553937589238
"51",5500,14.334661107902,22.6230379543388
"52",5550,13.7960630318429,22.2308159620647
"53",5600,12.971045661511,21.6217893120319
"54",5650,11.994959215881,21.3657625076777
"55",5700,11.3431020511926,21.3608543873026
"56",5750,11.2399338487298,21.28768641277
"57",5800,11.1701256996219,21.2755522382627
"58",5850,11.5602727194731,21.4430860469479
"59",5900,11.922283038887,21.433313443024
"60",5950,11.7856866256274,20.9380665137677
"61",6000,11.5200566525888,20.5244410236986
"62",6050,11.598476963965,20.7336446158092
"63",6100,11.8621387910306,21.0502019576045
"64",6150,11.8617002383873,20.9537867195866
"65",6200,11.7429384008456,20.7923278298299
"66",6250,11.9687919688178,20.9754526423839
"67",6300,12.2752928667099,21.1408861216297
"68",6350,12.1149932293836,20.8164885639856
"69",6400,11.8631224864128,20.4103258986379
"70",6450,11.9261195643366,20.1742386355544
"71",6500,11.927535987737,19.9839446691065
"72",6550,11.4959503829373,19.8073271746336
"73",6600,11.1098539622647,19.5622209720067
"74",6650,11.1238911857798,19.4679435542451
"75",6700,11.1818236738531,19.6171207007796
"76",6750,10.8367330456477,19.6943355123349
"77",6800,10.5148298015262,19.4727590839101
"78",6850,11.2021774657485,19.5787238836434
"79",6900,12.0367912534992,19.9253194480556
"80",6950,11.861849508673,19.538779739137
"81",7000,11.3657094288801,18.9775183883039
