age,d13,section
5.5,-8.65,Baode
5.5,-7.8,Baode
5.5,-4.4,Baode
5.5,-7.7,Baode
5.5,-10.14,Baode
5.5,-10.09,Baode
5.5,-10.26,Baode
5.5,-6.84,Baode
5.5,-8.199999999999998,Baode
5.5,-7.88,Baode
5.5,-9.66,Baode
5.5,-8.73,Baode
5.5,-7.44,Baode
5.5,-7.37,Baode
5.5,-7.14,Baode
5.5,-5.64,Baode
5.5,-8.71,Baode
5.5,-6.61,Baode
5.5,-7.78,Baode
5.5,-7.45,Baode
5.5,-9.5,Baode
5.5,-10.39,Baode
5.5,-8.5,Baode
5.5,-9.1,Baode
5.5,-10.7,Baode
6.5,-7.3,Baode
6.5,-6.67,Baode
6.5,-8.8,Baode
6.5,-7.48,Baode
6.5,-6.89,Baode
6.5,-9.8,Baode
6.5,-8.55,Baode
6.5,-7.679999999999999,Baode
6.5,-5.36,Baode
6.5,-9.26,Baode
6.5,-7.13,Baode
6.5,-9.83,Baode
6.5,-9.77,Baode
6.5,-9.71,Baode
6.5,-10.23,Baode
6.5,-10.93,Baode
6.5,-9.1,Baode
6.5,-10.72,Baode
6.5,-9.590000000000002,Baode
6.5,-9.98,Baode
6.5,-9.6,Baode
6.5,-11.19,Baode
2,-12.426317063999974,Yushe
2,-2.9458451279999838,Yushe
2,-2.684260199999992,Yushe
3.1,-2.171989716000059,Yushe
3.24,-10.102769124000082,Yushe
3.3,-10.101778272000075,Yushe
3.4,-5.920382831999897,Yushe
3.4,-6.148278792000065,Yushe
3.6,-3.0429486240001005,Yushe
3.65,-9.970985808000025,Yushe
3.65,-10.427768580000034,Yushe
3.65,-1.9064413800001605,Yushe
3.65,-2.932964051999924,Yushe
3.65,-1.1553755640001198,Yushe
4.35,-12.732490332000062,Yushe
4.35,-9.947205360000025,Yushe
4.35,-10.642783464000145,Yushe
4.5,-1.4397500879999947,Yushe
4.6,-8.511460811999918,Yushe
4.6,-10.231579884000013,Yushe
4.6,-2.9012567880001097,Yushe
4.6,-1.237616280000168,Yushe
4.65,-3.5235118439999966,Yushe
4.7,-10.461457548000078,Yushe
5.7,-10.567478712000016,Yushe
6.2,-6.974649360000122,Yushe
6.23,-10.85581664400002,Yushe
6.25,-1.3267929600000263,Yushe
6.25,-10.940039064000077,Yushe
6.25,-8.080440192000031,Yushe
6.25,-5.409103199999969,Yushe
6.3,-9.741108144000073,Yushe
6.3,-10.111686792000013,Yushe
6.4,-10.397188844000109,Lantian
6.4,-9.458425456000072,Lantian
6.4,-8.668152104000086,Lantian
6.4,-8.101888444000025,Lantian
6.4,-8.989691836000034,Lantian
6.4,-9.24731335600012,Lantian
6.4,-9.213624387999964,Lantian
6.4,-9.053791920000048,Lantian
6.4,-8.938228156000106,Lantian
6.4,-9.094416852000014,Lantian
6.4,-9.371657024000015,Lantian
6.4,-7.36240755600009,Lantian
6.4,-10.31098472000004,Lantian
6.4,-9.861839984000037,Lantian
7.7,-10.433363200000066,Lantian
8,-7.4256236959999855,Lantian
8,-9.683775404000022,Lantian
8,-9.290605548000036,Lantian
8,-10.868316371999995,Lantian
8,-10.200207684000034,Lantian
8,-7.000746576000078,Lantian
8,-9.591626168000035,Lantian
8,-10.10644266400008,Lantian
8,-9.592815407999993,Lantian
8,-9.47272392800004,Lantian
8,-10.019156208000055,Lantian
8,-10.70144586820005,Lantian
8,-11.49691331600004,Lantian
8,-9.927195865846203,Lantian
8,-10.743698264000017,Lantian
8,-9.980238540000125,Lantian
8,-10.351609652000118,Lantian
8,-11.201760667999952,Lantian
8,-10.272052712000049,Lantian
8,-8.407756416000051,Lantian
8.199999999999998,-9.234919448000047,Lantian
8.199999999999998,-9.992632448000084,Lantian
8.199999999999998,-8.47097255600006,Lantian
8.199999999999998,-9.469751372000026,Lantian
8.199999999999998,-8.155592839999894,Lantian
8.199999999999998,-8.81697829200006,Lantian
8.199999999999998,-11.257446768000053,Lantian
8.199999999999998,-10.136305987999975,Lantian
9.9,-8.025287544000054,Lantian
9.9,-9.229172724000083,Lantian
9.9,-8.576002868000103,Lantian
9.9,-9.116581516000045,Lantian
9.9,-10.370908668000022,Lantian
9.9,-10.098590306666734,Lantian
9.9,-9.772525539999975,Lantian
9.9,-10.63915511999996,Lantian
9.9,-11.067004796000106,Lantian
9.9,-10.033257380000054,Lantian
9.9,-9.521977748000014,Lantian
NA,-8.953030312000088,Lantian
