"","section","depth","AI","SID","age","n1","temp","temp.se","n2","d18c","d18c.se","Dp17c","Dp17c.se","Dp17c.se2","dp18sw","Dp17sw","dp18sw.se","Dp17sw.se","Dp17sw.low","Dp17sw.high","dp18sw.low","dp18sw.high"
"1","Jiaxian","1220",0.190893092828861,"1220-3",3.0292,5,19.3892452571329,2.63877680629435,1,-9.6924,0.0574853459587745,-105.477410948909,18,18,-9.73159000595595,-37.0549875214927,0,0,-37.0549875214927,-37.0549875214927,-9.73159000595595,-9.73159000595595
"2","Jiaxian","1765",0.190893092828861,"1765-12",3.4831,5,28.1897397866808,1,1,-9.53312,0.044254348938833,-108.275796363022,18,18,-7.95576205113635,-47.3215440238843,0,0,-47.3215440238843,-47.3215440238843,-7.95576205113635,-7.95576205113635
"3","Jiaxian","1765",0.190893092828861,"1765-7",3.4831,4,18.6059151849585,1,1,-9.29785,0.0742542853234002,-102.045723122927,18,18,-9.47643354387795,-32.8077429491276,0,0,-32.8077429491276,-32.8077429491276,-9.47643354387795,-9.47643354387795
"4","Jiaxian","2300",0.190893092828861,"2300-8",4.3533,6,18.9486570176555,2.36480217371263,1,-8.9348,0.0530571842449256,-118.853710665507,18,18,-9.03872400456393,-49.6107414149804,0,0,-49.6107414149804,-49.6107414149804,-9.03872400456393,-9.03872400456393
"5","Jiaxian","2650",0.190893092828861,"2650-1",4.8692,3,28.3788717595589,2.74773397011126,1,-6.697,0.155757808793011,-103.463076633849,18,18,-5.06744993251961,-42.6090057823725,0,0,-42.6090057823725,-42.6090057823725,-5.06744993251961,-5.06744993251961
"6","Jiaxian","2650",0.190893092828861,"2650-8",4.8692,6,22.0763476098744,2.36480217371263,1,-10.6075333333333,0.0449870845663261,-100.484470154793,18,18,-10.1420846032095,-34.3708820021449,0,0,-34.3708820021449,-34.3708820021449,-10.1420846032095,-10.1420846032095
"7","Jiaxian","3595",0.190893092828861,"3595-1",5.8536,3,13.1686750894215,1.48675118488075,1,-9.51936666666667,0.0371882747351607,-89.6360435759007,18,18,-10.7453043310962,-15.1878318803754,0,0,-15.1878318803754,-15.1878318803754,-10.7453043310962,-10.7453043310962
"8","Jiaxian","4750",0.190893092828861,"4750-5",6.6467,3,12.8301040103464,0.900002920029237,1,-9.07183333333333,0.013451187473396,-104.337957847005,18,18,-10.3612176212487,-29.8564472284122,0,0,-29.8564472284122,-29.8564472284122,-10.3612176212487,-10.3612176212487
"9","Lantian","1750",0.522164985852137,"LT2",2.797,4,12.96845,2.76635249156692,3,-8.91022454191764,0.02044917385256,-30.7403716287844,14.5454714902498,18,-9.7174728824729,-23.7605457491285,0.410243051962678,26.4267920176594,-50.1873377667879,2.6662462685309,-10.1277159344356,-9.30722983051022
"10","Lantian","350-400",0.522164985852137,"LT12",3.088,5,15.68219,3.49593763423229,2,-9.05759799598561,0.0887694214858213,-118.437093874679,19.2249993628179,18,-9.90772915947591,27.4918140059688,0.226888642909777,20.0724932501237,7.4193207558451,47.5643072560925,-10.1346178023857,-9.68084051656613
"11","Lantian","250-300",0.522164985852137,"LT23",3.684,4,23.93025,3.81037020053662,3,-9.74007336325274,0.0422481756369626,-92.0285604353737,12.5283388262902,18,-8.63345432784365,-27.5470522916198,0.0198477078264597,14.0071086303329,-41.5541609219527,-13.5399436612869,-8.65330203567011,-8.61360662001719
"12","Lantian","2200-2300",0.522164985852137,"LT29",4.505,4,26.67024,4.63989833207836,3,-10.5480629924805,0.0606035835176463,-62.4322354683695,7.53394936448793,18,-8.89055787826851,-0.266280055645514,0.181263693927339,8.42321145904497,-8.68949151469048,8.15693140339946,-9.07182157219585,-8.70929418434117
"13","Lantian","3600-3700",0.522164985852137,"LT41",5.31,3,25.03805,4.46333041995058,1,-9.61790526797066,0.0297885432952941,-67.6726938854468,20,18,-7.94973868907391,-4.14056432754073,0,0,-4.14056432754073,-4.14056432754073,-7.94973868907391,-7.94973868907391
"14","Lantian","4000-4100",0.522164985852137,"LT46",5.6,2,12.27676,7.43671266937292,3,-10.3281135055929,0.0436008664573832,-120.941571069849,16.3155610059986,18,-11.4918382901816,-45.554686818833,0.146586297454456,18.2413517501649,-63.7960385689979,-27.3133350686681,-11.6384245876361,-11.3452519927271
"15","Lantian","4500-4600",0.522164985852137,"LT49",6.163,3,20.2346,4.24802690121891,4,-9.71848440527519,0.0337601866264028,-97.1342923102245,11.9582195091952,18,-9.45149898727894,-29.3800604956751,0.0577658183125852,12.9163533089801,-42.2964138046552,-16.463707186695,-9.50926480559153,-9.39373316896635
"16","Shilou","0-80",0.293963983992886,"SL27",3.548125,4,21.66162,3.72264791934668,3,-8.37288756076569,0.0162490432803887,-85.472333973101,12.3419880878388,18,-7.74930168461522,-19.0005393706591,0.0967184310285893,13.7987621709025,-32.7993015415616,-5.2017771997566,-7.84602011564381,-7.65258325358663
"17","Shilou","310-330",0.293963983992886,"SL31",3.915714,2,12.71508,4.83003578905431,3,-8.49761149148752,0.0451546201502588,-91.614695599084,14.1975308147432,18,-9.51487878493231,-16.6743150376896,0.139418284920413,15.8733220072462,-32.5476370449358,-0.800993030443399,-9.65429706985272,-9.3754605000119
"18","Shilou","960",0.293963983992886,"SL35",4.51234358952381,3,19.46636,3.69254437150249,3,-9.1120394065826,0.0456587563801615,-88.4409653449438,23.7254342656124,18,-8.77972836055418,-19.9855147073107,0.0835896455576421,26.5258419067944,-46.5113566141051,6.5403271994837,-8.86331800611182,-8.69613871499654
"19","Shilou","1430-1450",0.293963983992886,"SL85",5.05268589715384,3,30.50751,3.63490819323363,2,-8.86334835663565,0.067011657570791,-154.256066855478,26.1647055874109,18,-6.39867933208518,-95.2133387302503,0.0718718395911537,32.0450889797086,-127.258427709959,-63.1682497505417,-6.47055117167633,-6.32680749249403
"20","Shilou","2500",0.293963983992886,"SL10",5.96659803397297,3,21.35715,3.31256538870548,3,-9.79146946583717,0.0452596907966912,-72.3692761555128,32.4895878562585,18,-9.27586036931191,-8.06819782121759,0.171795928458352,25.8010529435193,-33.8692507647369,17.7328551223017,-9.44765629777026,-9.10406444085356
"21","Shilou","3580",0.293963983992886,"SL53",6.59284791525,4,12.62795,4.72729930843172,3,-8.98817907975268,0.0394137643603034,-86.7859267636106,13.4987235940371,18,-9.8803468907225,-11.7580927930575,0.089325982887943,15.092031782884,-26.8501245759415,3.3339389898265,-9.96967287361044,-9.79102090783456
"22","Shilou","4290",0.293963983992886,"SL72",7.03171747870588,4,14.94397,3.09858039059935,3,-9.26302732407928,0.0696465892440676,-121.528401940392,29.6720362378898,18,-9.65940844162583,-48.7987245041165,0.0275839838298699,33.1743450293952,-81.9730695335117,-15.6243794747213,-9.6869924254557,-9.63182445779596
